English,CEFR,gender,word,wordAudio,pronunciation,definition,sentenceAudio,example,sentenceTranslation,To Delete,Duplicate?
"woman's, womanly, feminine",A2,adjective,زنانه,X,zanâna,مربوط به زن,X,این کیف زنانه است.,This is a woman's bag.,,
bee,A2,noun,زنبور,X,zanbur,حشره‌ای که نیش می‌زند,X,یک زنبور روی گل نشست.,A bee landed on a flower.,,
honeybee,B1,noun,زنبور عسل,X,zanbur-e 'asal,حشره‌ای که عسل می‌سازد,X,یک زنبور عسل روی گل نشست و شهد جمع کرد.,A honeybee landed on the flower and collected nectar.,,
queen bee,B2,noun,زنبور ملکه,X,zanbur-e malake,مادهٔ تخم‌گذارِ اصلی در کندو,X,زنبور ملکه اگر از بین برود، کندو به‌تدریج از هم می‌پاشد.,"If the queen bee is lost, the hive gradually falls apart.",,
"prison, jail",B1,noun,زندان,X,zendân,جایی برای نگهداریِ قانون‌شکنان,X,دزد پس از دادگاه به پنج سال زندان محکوم شد.,The thief was sentenced to five years in prison after the trial.,,
prisoner,B1,noun,زندانی,X,zendâni,کسی که به خاطرِ جرم در حبس است,X,زندانی از طریق پنجره کوچک سلول به بیرون می‌نگریست.,The prisoner looked out through the small window of his cell.,,
life,A1,noun,زندگی,X,zendegi,چیزهایی که بین تولد و مرگ می‌گذرد,X,زندگی در اسلو آرام است.,Life in Oslo is calm.,,
live,A1,verb,زندگی کردن,X,zendegi kardan,بودن و کار کردن در دنیا,X,من در اسلو زندگی می‌کنم.,I live in Oslo.,,
biography,B1,noun,زندگی‌نامه,X,zendegi-nâme,کتابِ زندگیِ یک شخص,X,من زندگی‌نامهٔ او را خواندم و فهمیدم چرا این‌قدر سخت‌کوش است.,I read his biography and understood why he is so hardworking.,,
force,B1,noun,زور,X,zur,قدرتِ فیزیکی برای تکان دادن یا فشار به چیزی,X,این کار با زور درست نمی‌شود.,This won’t work by force.,,
"a lot of, much, many",A1,adjective,زیاد,X,ziyâd,به مقدارِ زیاد,X,شکر در چای زیاد است.,There is too much sugar in the tea.,,
zipper,A2,noun,زیپ,X,zip,وسیله‌ای برای بستن لباس,X,زیپ کاپشن من خراب شده است و دیگر بسته نمی‌شود.,The zipper on my jacket is broken and won't close anymore.,,
olive,A2,noun,زیتون,X,zeytun,میوهٔ کوچک و شور,X,زیتون را با پنیر می‌خورم.,I eat olives with cheese.,,
"under, underneath, below, beneath",A1,preposition,زیر,X,zir,حرف اضافه برای پایینِ یک چیز,X,کفش زیر تخت است.,The shoes are under the bed.,,
because,B1,conjunction,زیرا,X,zirâ,برای بیانِ علت,X,من امروز نیامدم زیرا مریض بودم.,I didn’t come today because I was sick.,,
life,B2,noun,زیست,X,zist,زندگی از دید علمی,X,در گزارش نوشت که زیستِ مردمِ آن منطقه به آب و هوا و کشاورزی وابسته است.,In the report he wrote that the life of the people in that region depends on the climate and agriculture.,,
biology,B2,noun,زیست‌شناسی,X,zist-šenâsi,دانشِ بررسیِ موجودات زنده,X,من زیست‌شناسی را دوست دارم چون رابطهٔ بدن با محیط را توضیح می‌دهد.,I like biology because it explains the relationship between the body and the environment.,,Duplicate
live,B2,verb,زیستن,X,zistan,زندگی کردن,X,گاهی آدم فقط زیستن را ادامه می‌دهد، بدون این‌که بداند برای چه چیزی می‌جنگد.,Sometimes a person just keeps living without knowing what they are fighting for.,,
Japan,A1,noun,ژاپن,X,žâpon,کشوری در شرقِ آسیا,X,ژاپن یک کشور دور است.,Japan is a faraway country.,,
Japanese,A1,adjective,ژاپنی,X,žâponi,مربوط به آن کشور در شرقِ آسیا,X,او ژاپنی است و ژاپنی حرف می‌زند.,He is Japanese and speaks Japanese.,,
jacket,A1,noun,ژاکت,X,žâkat,لباسِ گرم برای روی لباس,X,وقتی سرد است، ژاکت می‌پوشم.,"When it’s cold, I wear a jacket.",,
ham,A2,noun,ژامبون,X,žâmbon,گوشتِ نمکیِ ران,X,من در ساندویچ ژامبون می‌گذارم.,I put ham in the sandwich.,,
January,A1,noun,ژانویه,X,žânviye,ماهِ اولِ سالِ میلادی,X,ژانویه ماهِ یک است.,January is the first month.,,
June,A1,noun,ژوئن,X,žu'an,ماهِ ششمِ سالِ میلادی,X,ژوئن ماهِ شش است.,June is the sixth month.,,
July,A1,noun,ژوئیه,X,žu'iye,ماهِ هفتمِ سالِ میلادی,X,ژوئیه ماهِ هفت است.,July is the seventh month.,,
question,A1,noun,سؤال,X,so'âl,چیزی که برای دانستن می‌پرسیم,X,یک سؤال دارم، ساعت چند است؟,"I have a question, what time is it?",,
"beach, shore",A2,noun,ساحل,X,sâhel,زمینِ شنی یا سنگی که دقیقاً کنارِ دریاست,X,ما روی شن‌های ساحل نشستیم و به موج‌های دریا نگاه کردیم.,We sat on the beach sands and looked at the sea waves.,,
building,A2,noun,ساختمان,X,sâxtemân,جای بزرگ با دیوار و سقف,X,این ساختمان خیلی قدیمی است.,This building is very old.,,
"make, build",A2,verb,ساختن,X,sâxtan,چیزی را درست کردن,X,او برای خانه یک میز ساخت.,He made a table for the house.,,
builder,B2,noun,سازنده,X,sâzande,کسی که چیزی را می‌سازد,X,سازنده قول داد تا آخر ماه همهٔ نقص‌ها را برطرف کند.,The builder promised to fix all the defects by the end of the month.,,
"clock, time, hour, watch",A1,noun,ساعت,X,sâ'at,چیزی برای دانستن زمان,X,ساعت روی دیوار است.,The clock is on the wall.,,
year,A1,noun,سال,X,sâl,۱۲ ماه,X,امسال یک سال خوب است.,This year is a good year.,,
salad,A1,noun,سالاد,X,sâlâd,خوراکیِ سرد با سبزی یا چیزهای دیگر,X,سالاد برای ناهار خوب است.,Salad is good for lunch.,,
fruit salad,A2,noun,سالاد میوه,X,sâlâd-e mive,میوه‌ها با هم در یک کاسه,X,برای صبحانه سالاد میوه می‌خورم.,For breakfast I eat fruit salad.,,
healthy,A2,adjective,سالم,X,sâlem,جوری که بدن خوب کار کند,X,این غذا سالم است.,This food is healthy.,,Duplicate
salmon,A2,noun,سالمون,X,sâlmon,ماهیِ صورتی برای خوردن,X,من سالمون دوست دارم.,I like salmon.,,
"centimeter, centimetre",A1,noun,سانتی‌متر,X,sânti-metr,واحد طول برابر با ۱۰۰ سانتی‌متر,X,این خط ده سانتی‌متر است.,This line is ten centimeters.,,
sandwich,A1,noun,ساندویچ,X,sândevič,غذا با نان و چیزهای داخلِ آن,X,من یک ساندویچ پنیر می‌خورم.,I eat a cheese sandwich.,,
"shadow, shade",B1,noun,سایه,X,sâye,تصویرِ تاریکِ اجسام که مقابلِ نور ایجاد می‌شود,X,آفتاب تابستان خیلی تند است؛ بیا زیر سایه این درخت بزرگ بنشینیم تا خنک شویم.,The summer sun is very sharp; let's sit under the shade of this big tree to cool down.,,
green,A1,adjective,سبز,X,sabz,دارای رنگِ برگِ درخت,X,سبز رنگِ سیب است.,Green is the color of an apple.,,
vegetable,A2,noun,سبزی,X,sabzi,چیزهای سبز برای غذا,X,من هر روز سبزی می‌خورم.,I eat vegetables every day.,,
vegetables,B1,noun,سبزیجات,X,sabzijât,همهٔ گیاهانِ خوراکی,X,من سعی می‌کنم هر روز سبزیجات بخورم، حتی وقتی وقت کم دارم.,"I try to eat vegetables every day, even when I don’t have much time.",,
"method, style",B1,noun,سبک,X,sabk,روشِ انجام دادنِ کار یا شکلِ اجرا,X,سبکِ نوشتنِ او ساده و روشن است.,His writing style is simple and clear.,,
"light, thin",A2,adjective,سبک,X,sabok,نه سنگین و نه چرب,X,این کیف خیلی سبک است.,This bag is very light.,,
September,A1,noun,سپتامبر,X,septâmbr,ماهِ نهمِ سالِ میلادی,X,سپتامبر ماهِ نه است.,September is the ninth month.,,
star,A1,noun,ستاره,X,setâre,چیز روشن در آسمانِ شب,X,ستاره‌ها شب‌ها در آسمان دیده می‌شوند.,Stars are seen in the sky at night.,,
"spinal column, spine",B2,noun,ستون فقرات,X,sotun-e faqarât,استخوان‌های پشتِ کمر,X,آسیب به ستون فقرات می‌تواند منجر به فلج شدن دائمی پاها شود.,Spinal cord injury can lead to permanent paralysis of the legs.,,
"hard, difficult",A2,adjective,سخت,X,saxt,با سختیِ زیاد,X,این درس سخت است.,This lesson is hard.,,
head,A1,noun,سر,X,sar,قسمتِ بالای بدن,X,سر من درد می‌کند.,My head hurts.,,
soldier,A2,noun,سرباز,X,sarbâz,کسی که در ارتش کار می‌کند,X,سرباز در مرز ایستاده است.,The soldier is standing at the border.,,
fry,B1,verb,سرخ کردن,X,sorx kardan,پختن در روغن داغ,X,من قصد دارم برای ناهار مقداری سیب‌زمینی و ماهی سرخ کنم.,I am going to fry some potatoes and fish for lunch.,,
cold,A1,adjective,سرد,X,sard,دارای دمای پایین,X,آب سرد است و دندانم درد می‌کند.,The water is cold and my tooth hurts.,,
cancer,B1,noun,سرطان,X,saratân,بیماریِ خطرناک با رشدِ سلول‌های بد,X,پزشک گفت باید برای سرطان آزمایش بدهم.,The doctor said I should get tested for cancer.,,
cough,A2,verb,سرفه کردن,X,sorfe kardan,صدا کردنِ سینه با مریضی,X,وقتی سرما می‌خورم زیاد سرفه می‌کنم.,"When I catch a cold, I cough a lot.",,
"fast, quick",A2,adjective,سریع,X,sari',با سرعتِ زیاد,X,او خیلی سریع می‌دود.,He runs very fast.,,
sauce,A1,noun,سس,X,sos,مایع برای طعم دادن به غذا,X,بدون سس پیتزا خشک است.,"Without sauce, pizza is dry.",,
tomato sauce,A2,noun,سس گوجه‌فرنگی,X,sos-e gowje-farangi,سسِ قرمز برای پاستا,X,برای پاستا سس گوجه‌فرنگی می‌خواهم.,I want tomato sauce for pasta.,,
"level, surface",B1,noun,سطح,X,sath,رویِ یک چیز,X,سطحِ آب بعد از باران بالا رفت.,The water level rose after the rain.,,
"bucket, pail, bin",A2,noun,سطل,X,satl,ظرفی برای زباله یا آب,X,آشغال‌ها را داخل سطل زباله بریزید.,Put the trash in the trash can.,,
embassy,B1,noun,سفارت,X,sefârat,نمایندگیِ یک کشور در کشور دیگر,X,من برای گرفتن ویزا باید فردا صبح به سفارت آلمان بروم.,I have to go to the German embassy tomorrow morning to get a visa.,,
"hard, firm",B1,adjective,سفت,X,seft,چیزی که محکم است و به راحتی تغییر شکل نمی‌دهد,X,تشک تخت خواب من خیلی سفت است و باعث می‌شود صبح‌ها با کمردرد از خواب بیدار شوم.,My bed mattress is very hard/firm and causes me to wake up in the morning with back pain.,,
"journey, trip",A2,noun,سفر,X,safar,رفتن از یک جا به جای دیگر,X,این سفر خیلی طولانی بود.,This trip was very long.,,
travel,A1,verb,سفر کردن,X,safar kardan,رفتن به یک جای دیگر برای دیدن جاهای نو,X,تابستان به اسپانیا سفر می‌کنم.,In summer I travel to Spain.,,
white,A1,adjective,سفید,X,sefid,دارای رنگِ برف,X,این شیر سفید است.,This milk is white.,,
"roof, ceiling",A2,noun,سقف,X,saġf,بالای یک اتاق,X,سقف اتاق سفید است.,The ceiling of the room is white.,,
sex,B1,noun,سکس,X,seks,رابطهٔ جنسی,X,آن‌ها دربارهٔ سکس خیلی راحت حرف نمی‌زنند.,They don’t talk about sex very comfortably.,,
sexual,B2,adjective,سکسوال,X,seksual,مربوط به رفتار و کشش جنسی,X,او گفت از نگاه سکسوالِ بعضی‌ها خسته شده و می‌خواهد جدی‌تر دیده شود.,He said he was tired of the sexualized gaze of some people and wants to be seen more seriously.,,
sexy,B1,adjective,سکسی,X,seksi,دارای جذابیتِ جنسی,X,او گفت این حرف‌ها برایش سکسی نیست و بیشتر از همه صداقت را دوست دارد.,"He said that kind of talk isn’t sexy to him, and what he likes most is honesty.",,
dog,A1,noun,سگ,X,sag,حیوانی که واق‌واق می‌کند,X,سگ پارس می‌کند.,The dog barks.,,
hello,A1,interjection,سلام,X,salâm,برای سلام کردن,X,وقتی وارد می‌شوی، می‌گویم «سلام».,"When you enter, I say “hello.”",,
healthy,A2,adjective,سلامت,X,salâmat,حالتِ خوبِ بدن,X,این غذا برای بدن سلامت است.,This food is healthy for the body.,,Duplicate
health,A2,noun,سلامتی,X,salâmati,حالِ خوب و سلامتِ بدن,X,سلامتی از همه چیز مهم‌تر است.,Health is more important than everything.,,
age,A2,noun,سن,X,senn,سال‌های عمر,X,سن تو چند است؟,How old are you?,,
heavy,A2,adjective,سنگین,X,sangin,با وزنِ زیاد,X,این کیف خیلی سنگین است.,This bag is very heavy.,,
heaviness,B1,noun,سنگینی,X,sangini,حالتِ سنگین بودن,X,سنگینی هوا قبل از باران همیشه من را بی‌حوصله می‌کند.,The heaviness in the air before rain always makes me irritable.,,
three,A1,numeral,سه,X,se,عدد ۳,X,سه یعنی یک و دو.,Three means one and two.,,
Tuesday,A1,noun,سه‌شنبه,X,se-šanbe,روزِ بعد از دوشنبه,X,سه‌شنبه به سینما می‌روم.,On Tuesday I go to the cinema.,,
Sweden,A1,noun,سوئد,X,su'ed,کشوری در شمالِ اروپا,X,سوئد نزدیکِ نروژ است.,Sweden is close to Norway.,,
Swedish,A1,noun,سوئدی,X,su'edi,زبانِ آن کشور در شمالِ اروپا,X,من سوئدی می‌خوانم.,I study Swedish.,,
Swedish,A1,adjective,سوئدی,X,su'edi,مربوط به آن کشور در شمالِ اروپا,X,او سوئدی است.,He is Swedish.,,
"supermarket, grocery store",A1,noun,سوپرمارکت,X,supermârket,فروشگاهِ بزرگ برای خریدِ خوراکی,X,من از سوپرمارکت شیر می‌خرم.,I buy milk from the supermarket.,,
fuel,B1,noun,سوخت,X,suxt,ماده‌ای که انرژی تولید می‌کند,X,با تمام شدن ذخیره سوخت، موتور هواپیما از کار افتاد.,The plane's engine stopped working when the fuel supply ran out.,,
profit,B1,noun,سود,X,sud,پولِ اضافیِ حاصل از تجارت,X,شرکت ما در سال گذشته توانست سود خالص زیادی به دست آورد.,Our company managed to make a large net profit last year.,,
needle,B1,noun,سوزن,X,suzan,ابزارِ نوک‌تیز برای خیاطی,X,نوک سوزن بسیار تیز است؛ مراقب باش در دستت فرو نرود.,The tip of a needle is very sharp; be careful not to get it stuck in your hand.,,
"hot dog, sausage",A1,noun,سوسیس,X,sosis,گوشتِ لوله‌ای که با نان هم می‌خورند,X,سوسیس را در ساندویچ می‌گذارم.,I put a hot dog in the sandwich.,,
sushi,A1,noun,سوشی,X,suši,غذای ژاپنی با برنج و ماهی,X,من سوشی را در رستوران می‌خورم.,I eat sushi at the restaurant.,,
sauna,A2,noun,سونا,X,sonâ,اتاقِ گرم برای عرق کردن,X,بعد از ورزش به سونا می‌روم.,After exercise I go to the sauna.,,
thirty,A1,numeral,سی,X,si,عدد ۳۰,X,سی یعنی سه تا ده.,Thirty means three tens.,,
planet,B1,noun,سیاره,X,sayyâre,جسمِ بزرگی که دورِ ستاره می‌چرخد,X,مریخ به عنوان چهارمین سیاره منظومه شمسی شناخته می‌شود.,Mars is known as the fourth planet in the solar system.,,
politics,B2,noun,سیاست,X,siyâsat,کارِ اداره و تصمیم‌گیری در جامعه و دولت,X,در سیاست، بعضی تصمیم‌ها بیشتر از آن‌که منطقی باشد، نتیجهٔ ترس و رقابت است.,"In politics, some decisions are the result of fear and competition more than logic.",,
politician,B2,noun,سیاستمدار,X,siyâsatmadâr,کسی که در سیاست کار می‌کند,X,آن سیاستمدار در سخنرانی‌اش قول‌های بزرگ داد، اما برنامهٔ مشخصی ارائه نکرد.,"That politician made big promises in his speech, but presented no clear plan.",,
political,B2,adjective,سیاسی,X,siyâsi,مربوط به سیاست,X,بحث سیاسی وقتی مفید است که از شعار به سمت دلیل و عدد برود.,Political discussion is useful when it moves from slogans toward reasons and numbers.,,
black,A1,adjective,سیاه,X,siyâh,دارای رنگِ خیلی تیره مثل شب,X,سیاه رنگِ شب است.,Black is the color of night.,,
apple,A1,noun,سیب,X,sib,میوه‌ای گرد که درخت دارد,X,سیب را می‌شویم و می‌خورم.,I wash the apple and eat it.,,
potato,A1,noun,سیب‌زمینی,X,sib-zamini,خوراکی که از خاک بیرون می‌آید و در سوپ هم می‌ریزند,X,سیب‌زمینی را در سوپ می‌ریزم.,I put potatoes into the soup.,,
CD,A1,noun,سی‌دی,X,si di,دیسک برای موسیقی یا داده,X,سی‌دی در کیف من است.,The CD is in my bag.,,
thirteen,A1,numeral,سیزده,X,sizdah,عدد ۱۳,X,سیزده یعنی ده و سه.,Thirteen means ten and three.,,
system,B1,noun,سیستم,X,sistem,مجموعه‌ای از بخش‌های مرتبط,X,اگر سیستم درست تنظیم شود، همه‌چیز سریع‌تر کار می‌کند.,"If the system is set correctly, everything works faster.",,
"movie theater, cinema",A1,noun,سینما,X,sinamâ,جایی برای دیدن فیلم,X,سینما آنجا است، بلیت بگیر.,"The movie theater is there, buy a ticket.",,
"scarf, shawl",A2,noun,شال,X,šâl,پارچهٔ بلند برای گردن,X,در زمستان شال می‌پوشم.,In winter I wear a scarf.,,
"dinner, supper",A1,noun,شام,X,šâm,غذای شب,X,امشب شام می‌خوریم.,Tonight we eat dinner.,,
sixteen,A1,numeral,شانزده,X,šânzdah,عدد ۱۶,X,شانزده یعنی ده و شش.,Sixteen means ten and six.,,
sixteenth,A2,adjective,شانزدهم,X,šânzdahom,روزِ بعد از پانزدهم در ماه,X,شانزدهم این ماه امتحان دارم.,On the sixteenth of this month I have an exam.,,
comb,A2,noun,شانه,X,šâne,وسیله‌ای برای مرتب کردنِ مو,X,موهایم را با شانه مرتب می‌کنم.,I comb my hair.,,
comb,A2,verb,شانه کردن,X,šâne kardan,مرتب کردنِ مو با شانه,X,هر صبح موهایم را شانه می‌کنم.,Every morning I comb my hair.,,
king,A2,noun,شاه,X,šâh,مردِ اولِ یک پادشاهی,X,شاه در قصر زندگی می‌کرد.,The king lived in the palace.,,
"maybe, perhaps",A2,adverb,شاید,X,šâyad,برای گفتنِ احتمال,X,شاید فردا باران بیاید.,Maybe it will rain tomorrow.,,
night,A1,noun,شب,X,šab,زمانِ بعد از غروب,X,شب سرد است.,The night is cold.,,
good night,A1,interjection,شب بخیر,X,šab bexeyr,برای گفتنِ خداحافظی قبل از خواب,X,شب بخیر، فردا می‌بینمت.,"Good night, see you tomorrow.",,
nocturnal,B1,adjective,شبانه,X,šabâne,مربوط به شب,X,او شیفت شبانه دارد و صبح‌ها می‌خوابد.,He has the night shift and sleeps in the mornings.,,
peninsula,B1,noun,شبه‌جزیره,X,šebhe-jazire,زمینِ متصل به آب از ۳ طرف,X,عربستان بزرگترین شبه‌جزیره در جهان است که از سه طرف با آب احاطه شده است.,"Saudi Arabia is the largest peninsula in the world, surrounded on three sides by water.",,
"brave, courageous",B1,adjective,شجاع,X,šojâ',کسی که از ترس نمی‌ترسد,X,سرباز شجاع برای نجات مردم به میدان جنگ رفت.,The brave soldier went to the battlefield to save people.,,
person,B1,noun,شخص,X,šaxs,یک فرد,X,او شخص محترمی است و به وقت دیگران اهمیت می‌دهد.,He is a respectable person and values other people’s time.,,
personal,B1,adjective,شخصی,X,šaxsi,مربوط به یک فرد,X,لطفاً این سؤال را نپرس؛ موضوع شخصی است.,"Please don’t ask this question, it’s personal.",,
"personality, character",B2,noun,شخصیت,X,šaxsiyat,ویژگی‌های رفتاری و فکریِ یک فرد,X,شخصیتِ او در جمع آرام است، اما در کار بسیار جدی و دقیق می‌شود.,"His personality is calm in groups, but at work he becomes very serious and precise.",,
"get, become",A1,verb,شدن,X,šodan,تبدیل شدن به حالتِ دیگر,X,هوا سرد شد.,The weather got cold.,,
wine,A2,noun,شراب,X,šarâb,نوشیدنیِ الکلی از انگور,X,شراب قرمز روی میز است.,There is red wine on the table.,,
conditions,B1,noun,شرایط,X,šarâyet,وضعیت لازم برای انجامِ یک کار,X,برای استخدام، باید تمام شرایط شرکت را بپذیرید.,"To be hired, you must accept all the conditions of the company.",,
east,A2,noun,شرق,X,šarġ,سمتِ طلوعِ خورشید,X,خانهٔ ما در شرق شهر است.,Our house is in the east of the city.,,
eastern,A2,adjective,شرقی,X,šarġi,مربوط به سمتِ شرق,X,این یک غذای شرقی است.,This is an Eastern dish.,,
"company, firm",A2,noun,شرکت,X,šerkat,جایی که مردم در آن کار می‌کنند,X,من در یک شرکت کوچک کار می‌کنم.,I work at a small company.,,
start,A2,noun,شروع,X,šoru',آغازِ یک کار,X,شروع کلاس ساعت نه است.,The start of class is at nine o’clock.,,
start,A1,verb,شروع کردن,X,šoru' kardan,شروع کردن یک کار,X,شروع کردنِ کلاس ساعت نه است.,The class starts at nine.,,
washing,B1,noun,شستشو,X,šostošu,تمیز کردن با آب,X,شستشوی لباس‌ها را عصر انجام می‌دهم.,I do the laundry in the afternoon.,,
six,A1,numeral,شش,X,šeš,عدد ۶,X,شش یعنی سه و سه.,Six means three and three.,,
sixth,A1,adjective,ششم,X,šešom,رتبهٔ ۶,X,امروز روز ششم است.,Today is the sixth day.,,
sixty,A1,numeral,شصت,X,šast,عدد ۶۰,X,شصت یعنی شش تا ده.,Sixty means six tens.,,
sugar,A1,noun,شکر,X,šakar,چیزی شیرین برای چای و کیک,X,شکر را در چای می‌ریزم.,I put sugar in the tea.,,
break,A2,verb,شکستن,X,šekastan,جدا شدنِ اجزایِ یک چیزِ سخت بر اثرِ ضربه,X,مواظب باش لیوان شیشه‌ای از دستت نیفتد و نشکند.,Be careful that the glass cup doesn't fall from your hand and break.,,
broken,A2,adjective,شکسته,X,šekaste,ویژگیِ ظرف یا وسیله‌ای که دیگر یک‌پارچه نیست,X,من نمی‌توانم با این مداد شکسته که نوک ندارد بنویسم.,I cannot write with this broken pencil that has no point.,,
"shape, form, mold",A2,noun,شکل,X,šekl,ظاهرِ چیزی,X,شکل این میز گرد است.,The shape of this table is round.,,
chocolate,A1,noun,شکلات,X,šokolât,خوراکیِ شیرین از کاکائو,X,شکلات را در یخچال می‌گذارم.,I put the chocolate in the fridge.,,
"stomach, belly",A2,noun,شکم,X,šekam,قسمتِ بدن برای غذا,X,شکمم درد می‌کند.,My stomach hurts.,,
pants,A1,noun,شلوار,X,šalvâr,لباس برای پایین‌تنه,X,شلوارم را امروز می‌شویم.,I wash my pants today.,,
"crowded, busy",A2,adjective,شلوغ,X,šoluġ,مکانی که پر از آدم، ماشین و سر و صدا است,X,بازار قبل از عید آن‌قدر شلوغ بود که نمی‌توانستیم راه برویم.,The market before the New Year was so crowded that we couldn't walk.,,
"you all, you (formal)",A1,pronoun,شما,X,šomâ,ضمیر برای خطاب رسمی یا جمع,X,شما کجا می‌روید؟,Where are you all going?,,
number,A1,noun,شماره,X,šomâre,چیزی که با آن تلفن یا خانه را مشخص می‌کنند,X,شمارهٔ تلفن من این است.,My phone number is this.,,
north,A2,noun,شمال,X,šomâl,سمتِ بالای نقشه,X,من در شمال کشور زندگی می‌کنم.,I live in the north of the country.,,
northern,A2,adjective,شمالی,X,šomâli,مربوط به سمتِ شمال,X,هوای شمالی سرد است.,The northern weather is cold.,,
count,A2,verb,شمردن,X,šomordan,شماره‌ها را یکی‌یکی گفتن,X,من سکه‌ها را می‌شمرم.,I count the coins.,,
candle,A2,noun,شمع,X,šam',چیزی که با سوختن، نور تولید می‌کند,X,وقتی برق رفت، ما یک شمع روشن کردیم.,"When the power went out, we lit a candle.",,
sand,A2,noun,شن,X,šen,دانه‌های ریزِ کنارِ دریا,X,بچه‌ها در کنار دریا با شنهای ساحل بازی می‌کنند.,The children are playing with the sand on the beach by the sea.,,
swim,A1,verb,شنا کردن,X,šenâ kardan,حرکت کردن در آب,X,در استخر شنا می‌کنم.,I swim in the pool.,,
"recognize, know, be familiar with",A2,verb,شناختن,X,šenâxtan,آشنا شدن با یک شخص یا چیز,X,من او را شناختم.,I recognized him.,,
Saturday,A1,noun,شنبه,X,šanbe,روزِ اولِ تعطیلاتِ آخرِ هفته در ایران,X,شنبه در خانه هستم.,On Saturday I’m at home.,,
sandy,B1,adjective,شنی,X,šeni,دارای شن,X,در آن ساحل، خاک شنی است و راه رفتن سخت می‌شود.,"On that beach, the ground is sandy and walking becomes difficult.",,
hear,A1,verb,شنیدن,X,šenidan,شنیدن با گوش,X,صدای موسیقی را می‌شنوم.,I hear the sound of music.,,
city,A1,noun,شهر,X,šahr,جایی بزرگ با خیابان‌ها و خانه‌های زیاد,X,این شهر بزرگ است و خیابان زیاد دارد.,This city is big and has many streets.,,
"city, town",A1,noun,شهر,X,šahr,جایی که مردم در آن زندگی می‌کنند,X,من در شهر کار می‌کنم.,I work in the city.,,
mayor,B1,noun,شهردار,X,šahrdâr,مدیرِ اصلی که اداره‌ی امورِ یک شهر را بر عهده دارد,X,شهردار جدید قول داده است که تمام پارک‌های شهر را بازسازی کند و سیستم حمل‌ونقل را بهبود ببخشد.,The new mayor has promised to renovate all city parks and improve the transportation system.,,
"county, countryside",B1,noun,شهرستان,X,šahrestân,بخشِ اداریِ بزرگ‌تر از شهر,X,این شهرستان از شهر دور است و طبیعت زیبایی دارد.,This county is far from the city and has beautiful nature.,,
town,B1,noun,شهرک,X,šahrak,شهرِ کوچک,X,آن‌ها به یک شهرک نزدیک تهران رفتند چون اجاره آنجا کمتر بود.,They went to a town near Tehran because the rent there was lower.,,
citizen,B1,noun,شهروند,X,šahrvand,فردی که تابعیتِ کشوری را دارد,X,هر شهروند وظیفه دارد به قوانین کشور احترام بگذارد و مالیات بپردازد.,Every citizen has a duty to respect the laws of the country and pay taxes.,,
"fun, joke",A2,noun,شوخی,X,šôxi,حرفِ خنده‌دار برای خندیدن,X,او همیشه شوخی می‌کند.,He always jokes.,,
salty,A2,adjective,شور,X,šur,دارای مزهٔ نمک,X,این سوپ خیلی شور است.,This soup is very salty.,,
husband,A1,noun,شوهر,X,šowhar,مردی که همسر دارد,X,شوهر او در خانه است.,Her husband is at home.,,
lion,A2,noun,شیر,X,šir,حیوانِ بزرگ با یال,X,در باغ‌وحش یک شیر دیدیم.,We saw a lion at the zoo.,,
milk,A1,noun,شیر,X,šir,مایع سفید از گاو,X,شیر را در یخچال می‌گذارم.,I put the milk in the fridge.,,
"faucet, tap",A2,noun,شیر آب,X,šêr-e âb,وسیله‌ی خروج آب,X,بعد از شستن دست‌ها، حتما شیر آب را محکم ببندید.,"After washing your hands, be sure to turn off the water tap.",,
"sweet, pleasant",A2,adjective,شیرین,X,širin,دارای مزهٔ شکر,X,این چای شیرین است.,This tea is sweet.,,
sweeten,B1,verb,شیرین کردن,X,širin kardan,شیرین کردنِ نوشیدنی یا غذا,X,برای چای، کمی عسل اضافه کرد تا آن را شیرین کند.,"For the tea, he added a little honey to sweeten it.",,
sweetness,A2,noun,شیرینی,X,širini,خوراکیِ شیرین برای چای,X,من شیرینی نمی‌خورم.,I don’t eat sweets.,,
soap,A1,noun,صابون,X,sâbun,چیزی برای شستنِ دست و صورت,X,دست‌هایت را با آب و صابون بشور.,Wash your hands with soap and water.,,
"truthful, true, honest",B1,adjective,صادق,X,sâdeq,کسی که همیشه حقیقت را می‌گوید,X,او همیشه با دوستانش صادق است و راست می‌گوید.,He is always honest with his friends and tells the truth.,,
morning,A1,noun,صبح,X,sobh,زمانِ اولِ روز,X,صبح زود بیدار می‌شوم.,I wake up early in the morning.,,
good morning,A1,interjection,صبح بخیر,X,sobh bexeyr,برای سلام کردن در اولِ روز,X,صبح بخیر، امروز مدرسه داریم.,"Good morning, today we have school.",,
breakfast,A1,noun,صبحانه,X,sobhâne,غذای اولِ روز,X,صبحانه را قبل از کار می‌خورم.,I eat breakfast before work.,,
wait,A2,verb,صبر کردن,X,sabr kardan,منتظر ماندن بدون عجله,X,لطفاً کمی صبر کن.,Please wait a little.,,
patient,B1,adjective,صبور,X,sabur,کسی که تحملِ زیادی دارد,X,پرستار با مهربانی و رفتاری صبور به سوالات تکراری پیرزن پاسخ می‌داد.,The nurse answered the old woman’s repeated questions with kindness and patience.,,
speak,A1,verb,صحبت کردن,X,sohbat kardan,حرف زدن با زبان,X,با معلم فارسی صحبت می‌کنم.,I speak Persian with the teacher.,,
